                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1231,                 4.1267,                 1.4596,                0.00775,                0.85966,                0.26852,                0.13573,                 1.5679,                  3.846,                 1.6774,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.0016,                 2.9203,                 1.3354,                0.94534,                0.30155,                0.43922,                0.23744,                 1.6177,                 3.0087,                 1.7248,             0.00037152,             0.00037152,             0.00037152
                      3,                0.97484,                  2.342,                 1.2938,                0.79602,                0.44557,                 0.5124,                0.26814,                 1.8019,                 2.7747,                 2.0497,             0.00053668,             0.00053668,             0.00053668
                      4,                0.88925,                 2.0389,                  1.249,                0.55001,                0.54877,                0.50371,                0.25048,                 1.8576,                   3.07,                 1.9425,             0.00051815,             0.00051815,             0.00051815
                      5,                0.90464,                 1.8975,                 1.2142,                0.62021,                0.74653,                0.76364,                 0.3905,                 1.7878,                 2.5042,                 1.8983,             0.00051815,             0.00051815,             0.00051815
                      6,                0.83895,                 1.6945,                 1.1897,                0.74035,                0.69998,                0.84094,                0.48822,                 1.4796,                  1.804,                 1.5582,             0.00049486,             0.00049486,             0.00049486
                      7,                0.83199,                   1.58,                 1.1695,                0.80779,                0.89002,                0.88933,                0.46954,                 1.5319,                 1.7271,                 1.5452,             0.00047158,             0.00047158,             0.00047158
                      8,                0.79934,                 1.4954,                 1.1494,                0.81589,                0.91389,                0.87505,                0.58278,                 1.3731,                 1.6358,                 1.4447,             0.00044829,             0.00044829,             0.00044829
                      9,                0.78693,                 1.3776,                 1.1382,                0.70543,                0.90406,                0.87761,                0.52853,                 1.5066,                 1.5499,                 1.5667,             0.00042501,             0.00042501,             0.00042501
                     10,                0.75168,                 1.2832,                 1.1145,                0.81244,                0.86032,                0.91173,                0.59977,                 1.3385,                 1.5538,                 1.4022,             0.00040172,             0.00040172,             0.00040172
                     11,                0.70757,                 1.2315,                 1.0984,                0.70092,                0.86053,                0.88574,                0.55509,                 1.3922,                 1.5123,                 1.4142,             0.00037844,             0.00037844,             0.00037844
                     12,                0.69629,                 1.1548,                 1.0877,                0.86882,                 0.9182,                0.92184,                0.56934,                 1.3245,                 1.2808,                 1.3986,             0.00035515,             0.00035515,             0.00035515
                     13,                0.71973,                  1.119,                 1.0698,                0.83094,                0.87004,                0.90137,                0.55114,                 1.3979,                 1.4563,                 1.4156,             0.00033187,             0.00033187,             0.00033187
                     14,                0.66713,                 1.0894,                 1.0723,                0.86536,                0.82901,                 0.9085,                0.53474,                 1.3557,                 1.3429,                  1.396,             0.00030858,             0.00030858,             0.00030858
                     15,                0.64275,                 1.0137,                 1.0679,                0.86035,                0.92214,                 0.9331,                0.55919,                 1.4252,                 1.2912,                  1.421,              0.0002853,              0.0002853,              0.0002853
                     16,                0.64946,                 1.2547,                 1.0772,                0.87271,                0.93452,                0.92239,                0.62901,                 1.2767,                 1.2366,                 1.3384,             0.00026201,             0.00026201,             0.00026201
                     17,                0.61881,                 1.1475,                 1.0589,                0.85626,                 0.9047,                0.92733,                0.61262,                 1.2937,                 1.1643,                 1.3798,             0.00023873,             0.00023873,             0.00023873
                     18,                0.62859,                 1.1033,                  1.062,                0.90523,                0.91871,                0.91841,                0.60972,                 1.1535,                 1.0863,                  1.307,             0.00021544,             0.00021544,             0.00021544
                     19,                0.60591,                 1.0766,                 1.0339,                0.86639,                0.92088,                0.92642,                0.63715,                 1.1212,                 1.0657,                 1.2646,             0.00019216,             0.00019216,             0.00019216
                     20,                0.57839,                 1.0403,                 1.0283,                0.89171,                0.93361,                0.94587,                0.65345,                 1.1438,                 1.0693,                 1.2638,             0.00016887,             0.00016887,             0.00016887
                     21,                0.54922,                0.98991,                0.99624,                0.92022,                0.91574,                0.93893,                0.65658,                 1.1232,                 1.0494,                 1.2642,             0.00014559,             0.00014559,             0.00014559
                     22,                0.54412,                 0.9696,                 1.0149,                0.89754,                0.92288,                0.92847,                0.65723,                 1.1197,                 1.0392,                 1.2456,              0.0001223,              0.0001223,              0.0001223
                     23,                0.54267,                0.94822,                  1.001,                0.88624,                0.89747,                0.92548,                0.65622,                 1.1177,                 1.0061,                   1.25,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     24,                0.51463,                0.92075,                0.98948,                 0.9293,                0.94255,                0.94942,                0.64662,                 1.1175,                0.98404,                 1.2296,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     25,                0.49154,                0.89686,                0.98369,                0.91247,                0.90739,                0.94313,                0.66339,                 1.1054,                0.98374,                  1.233,              5.245e-05,              5.245e-05,              5.245e-05
